종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6250","50","0.81","6140","6370","6110","228526","1427430010","292639343750","46822295"
"006840","AK홀딩스","29700","600","2.06","29100","29750","28900","37746","1112607850","393452561700","13247561"
"027410","BGF","6340","10","0.16","6330","6360","6300","135538","856952970","606844454940","95716791"
"282330","BGF리테일","168000","-500","-0.30","166500","169000","166000","13865","2326480500","2903696208000","17283906"
"138930","BNK금융지주","7580","20","0.26","7500","7620","7480","596595","4507970330","2470589164680","325935246"
"001460","BYC","399000","-1500","-0.37","400500","402000","397500","148","59033000","249221385000","624615"
"001465","BYC우","184500","-500","-0.27","183500","184500","183500","51","9343500","39738532500","215385"
"001040","CJ","102500","-1500","-1.44","103500","105000","102000","74170","7628189500","2990642295000","29176998"
"079160","CJ CGV","30150","300","1.01","29550","30400","29550","261469","7851831550","1058265000000","35100000"
"00104K","CJ4우(전환)","88500","-800","-0.90","89000","89000","87900","3644","321989200","374046312000","4226512"
"000120","CJ대한통운","184500","1500","0.82","182000","184500","181000","20627","3775088500","4208877468000","22812344"
"011150","CJ씨푸드","5010","35","0.70","4995","5100","4970","1191526","5996722185","180013172730","35930773"
"011155","CJ씨푸드1우","44250","-150","-0.34","44200","44300","43650","775","34067150","8850000000","200000"
"001045","CJ우","64900","-300","-0.46","65200","65200","64500","1978","128189300","146688472700","2260223"
"097950","CJ제일제당","465000","4000","0.87","467000","477500","461000","54899","25642036000","7000196490000","15054186"
"097955","CJ제일제당 우","214000","-500","-0.23","216000","221500","213000","5110","1102370000","284070662000","1327433"
"000590","CS홀딩스","70400","200","0.28","70600","70600","69600","733","51264300","81275532800","1154482"
"012030","DB","1235","0","0.00","1230","1240","1200","2086829","2541027270","248449807255","201173933"
"016610","DB금융투자","6980","-10","-0.14","6950","7040","6950","61755","431740880","296275795220","42446389"
"005830","DB손해보험","56000","-100","-0.18","55100","56600","55000","139173","7761448500","3964800000000","70800000"
"000990","DB하이텍","63400","-2800","-4.23","65200","65200","62800","2146507","136549735400","2814870479200","44398588"
"000995","DB하이텍1우","122500","1000","0.82","122500","122500","118000","625","74932500","13758710000","112316"
"139130","DGB금융지주","9030","80","0.89","8950","9030","8900","321214","2880059000","1527386871990","169145833"
"001530","DI동일","241000","7000","2.99","234000","248500","234000","45982","11146188000","605067855000","2510655"
"000210","DL","81000","300","0.37","80300","81600","80100","112592","9121959700","1697426604000","20955884"
"001880","DL건설","35250","-350","-0.98","35450","35500","35100","62022","2184416150","777378261000","22053284"
"000215","DL우","46700","-150","-0.32","47350","47350","46500","2134","99477900","78741570500","1686115"
"375500","DL이앤씨","148500","-1000","-0.67","148500","149500","147000","94562","14038231500","2874772593000","19358738"
"37550K","DL이앤씨우","80600","-100","-0.12","80500","81300","80100","8216","660559800","170379131000","2113885"
"004840","DRB동일","7820","20","0.26","7800","7870","7710","16719","129720800","155852600000","19930000"
"155660","DSR","6960","-60","-0.85","7020","7040","6870","48397","335665690","111360000000","16000000"
"069730","DSR제강","6650","-10","-0.15","6620","6700","6560","43175","286249780","95760000000","14400000"
"017940","E1","56400","-300","-0.53","56700","56700","56200","5002","282209000","386904000000","6860000"
"365550","ESR켄달스퀘어리츠","7420","-50","-0.67","7490","7490","7350","130238","968075810","1062981780000","143259000"
"383220","F&F","525000","-20000","-3.67","542000","547000","520000","40135","21153428000","4022242875000","7661415"
"007700","F&F홀딩스","37850","800","2.16","37500","38450","37050","135240","5147162750","292905442250","7738585"
"114090","GKL","16400","0","0.00","16300","16550","16200","196571","3218026100","1014432988000","61855670"
"078930","GS","44000","-500","-1.12","44300","44500","44000","189436","8366335000","4088276632000","92915378"
"006360","GS건설","43900","-100","-0.23","43700","44250","43550","403574","17721243850","3757027411000","85581490"
"001250","GS글로벌","2880","-25","-0.86","2905","2915","2880","313700","906312725","237697240320","82533764"
"007070","GS리테일","36950","-250","-0.67","37200","37700","36450","808174","29863743000","3869327217900","104717922"
"078935","GS우","37200","-150","-0.40","37350","37350","37150","3115","115938850","66395527200","1784826"
"012630","HDC","13000","-100","-0.76","13000","13050","12900","229107","2968669000","776642373000","59741721"
"039570","HDC아이콘트롤스","13800","0","0.00","13800","13900","13400","26760","365797500","227148000000","16460000"
"089470","HDC현대EP","6050","-40","-0.66","6090","6100","6000","74215","448176710","192995000000","31900000"
"294870","HDC현대산업개발","32150","-150","-0.46","32000","32350","31650","372562","11921378750","2118920659500","65907330"
"011200","HMM","43950","850","1.97","43350","44600","42900","5285474","231357096250","17816999803650","405392487"
"082740","HSD엔진","9120","-50","-0.55","9120","9170","9060","441109","4011221900","426097763520","46721246"
"003560","IHQ","1915","-10","-0.52","1925","1940","1895","1598955","3054324810","280041457420","146235748"
"175330","JB금융지주","7240","20","0.28","7220","7270","7190","218283","1579620080","1426156152560","196982894"
"234080","JW생명과학","18950","-100","-0.52","19000","19000","18850","27345","517023650","300064798300","15834554"
"001060","JW중외제약","29850","-400","-1.32","30250","30250","29800","46430","1389468100","642966791100","21539926"
"001067","JW중외제약2우B","69300","500","0.73","68700","69300","67700","371","25422200","6446840400","93028"
"001065","JW중외제약우","47800","-200","-0.42","48350","48350","47750","869","41816050","8483830800","177486"
"096760","JW홀딩스","4645","20","0.43","4700","4700","4610","260820","1206463215","317909290390","68441182"
"105560","KB금융","52500","700","1.35","51500","52500","51400","1171346","60923401272","21829915800000","415807920"
"002380","KCC","324000","6000","1.89","318000","324500","315000","33175","10637009500","2879216604000","8886471"
"344820","KCC글라스","65700","-1000","-1.50","66100","67100","65400","73248","4831806100","1049262638400","15970512"
"009070","KCTC","8730","230","2.71","8630","9130","8610","3518737","31258919990","261900000000","30000000"
"009440","KC그린홀딩스","5500","30","0.55","5430","5560","5430","124406","682159940","123392390000","22434980"
"119650","KC코트렐","8050","190","2.42","7860","8160","7750","333957","2655731740","104650000000","13000000"
"092220","KEC","2410","-5","-0.21","2410","2435","2400","837736","2019152990","281263725400","116706940"
"016380","KG동부제철","16650","-200","-1.19","16700","16750","16450","278884","4626498800","1665148135050","100008897"
"016385","KG동부제철우","139000","1500","1.09","135000","139000","135000","150","20363000","7420515000","53385"
"001390","KG케미칼","35650","650","1.86","35350","35950","34900","237726","8442420250","494326322400","13866096"
"033180","KH 필룩스","3325","-60","-1.77","3380","3385","3315","937275","3118074375","443202008025","133293837"
"001940","KISCO홀딩스","20300","-250","-1.22","20550","20550","20250","15974","324803000","375070514000","18476380"
"025000","KPX케미칼","65900","200","0.30","65700","65900","65000","2707","177141300","318956000000","4840000"
"092230","KPX홀딩스","69600","-100","-0.14","70200","70200","68300","1792","124239600","294035361600","4224646"
"000040","KR모터스","1290","20","1.57","1270","1370","1245","7803936","10225441920","124017204720","96137368"
"044450","KSS해운","12350","-50","-0.40","12400","12500","12300","68206","844922100","286345618000","23185880"
"030200","KT","33050","50","0.15","32950","33200","32800","636895","21045619100","8629745254400","261111808"
"033780","KT&G","83700","300","0.36","83000","83700","82900","263512","22010052100","11491381998900","137292497"
"030210","KTB투자증권","8360","-110","-1.30","8410","8470","8190","892331","7413039730","504225809120","60314092"
"058850","KTcs","3335","50","1.52","3270","3335","3260","462017","1519833815","142354475000","42685000"
"058860","KTis","3110","-15","-0.48","3125","3130","3080","150831","467322075","108234220000","34802000"
"093050","LF","19300","-150","-0.77","19450","19450","19100","48432","930942250","564332000000","29240000"
"003550","LG","98800","-600","-0.60","98600","99200","98100","294081","28964005900","15541338108400","157300993"
"034220","LG디스플레이","23250","-300","-1.27","23400","23450","23100","1654630","38426951200","8319215025000","357815700"
"051900","LG생활건강","1713000","14000","0.82","1695000","1715000","1693000","16940","28902765000","26753971461000","15618197"
"051905","LG생활건강우","785000","6000","0.77","778000","785000","771000","1732","1346996000","1648262145000","2099697"
"003555","LG우","74500","-100","-0.13","74100","74700","74100","4102","304924200","225110690000","3021620"
"032640","LG유플러스","14750","-50","-0.34","14750","14800","14650","977675","14373927200","6440017574750","436611361"
"011070","LG이노텍","241000","500","0.21","240500","244500","237000","240091","57736665500","5703772787000","23667107"
"066570","LG전자","160500","-500","-0.31","159500","161500","159500","523298","83805397000","26265474147000","163647814"
"066575","LG전자우","77700","-600","-0.77","78000","78400","77600","48851","3801331500","1335351578400","17185992"
"037560","LG헬로비전","8120","-20","-0.25","8100","8270","8070","759430","6191393840","628868543800","77446865"
"051910","LG화학","828000","10000","1.22","820000","828000","818000","215692","177577210000","58450460004000","70592343"
"051915","LG화학우","380000","3500","0.93","376500","380000","375500","12117","4573179500","2921744000000","7688800"
